xG,yG,zG,gyroXangle,gyroYangle,gyroZangle
0.000244,0.000244,0.000244,-0.4686752,-4.4815008,0.3446464
0.000244,0.000244,0.000244,-0.39921728,-4.47571264,-0.06631296
0.000244,0.000244,0.000244,-0.390593,-4.84368192,0.0515522
0.000244,0.000244,0.000244,-0.35029932,-5.64955552,0.05443032
-0.0240096,0.0569984,0.4049424,-0.3560557,-5.81649054,0.06594308
-0.03792736,0.09412544,0.64781024,-0.3127957,-5.95492254,0.12362308
-0.044130816,0.114352064,0.789529344,-0.28688506,-6.48753014,0.05452804
-0.05009769,0.127366438,0.876903206,-0.30704709,-6.62002348,0.14669732
-0.056117814,0.139664663,0.927863524,-0.34448085,-6.39542092,0.17837204
-0.058168288,0.144115598,0.960879714,-0.27528333,-6.25702588,0.25910248
-0.060158014,0.147762159,0.979713429,-0.09498489,-5.76192064,0.2848594
-0.060158014,0.147762159,0.987792857,0.04625222,-5.32667975,0.43474368
-0.060158014,0.147762159,1.000643714,0.12979281,-4.5344845,0.5845406
-0.060158014,0.147762159,1.006109429,0.73262196,-3.96626755,0.4403231
-0.060158014,0.147762159,1.006919253,1.17957686,-2.97719961,0.62487222
-0.056980499,0.141842984,1.007339257,1.5632792,-0.87693417,1.47017136
-0.056343499,0.13468659,1.009150754,2.21323445,1.35891189,2.2385629
-0.0457133,0.122682354,1.014071552,2.9137913,3.90455674,2.50667725
-0.04040878,0.111087813,1.015868235,3.41225101,6.87802738,3.02242458
-0.037323668,0.090857488,1.017286431,3.15288631,10.33622338,3.41435346
-0.033325401,0.068080893,1.017972531,3.08367031,12.70975538,3.22689346
-0.02077604,0.031088536,1.020898719,2.88487717,14.91664734,3.10877
-0.018469135,-0.002330879,1.020898719,2.27973697,17.36890596,3.66204104
-0.010611224,-0.049612927,1.020898719,1.73201637,20.36695556,3.5726761
-0.002980681,-0.097794956,1.019801688,1.44968621,23.19889992,3.50929586
-0.002980681,-0.143296174,1.019801688,0.89019021,25.46283992,3.91017186
-0.002029525,-0.185432104,1.015868235,0.62628783,28.41684398,4.79268412
-0.002029525,-0.227891263,0.994668213,0.32854668,31.47932438,5.05072645
-0.002029525,-0.271813158,0.985541728,0.04502568,34.81069613,5.1499588
-0.002029525,-0.321590295,0.972160237,0.25203178,37.60953203,6.04604
-0.002453539,-0.360240577,0.947344142,0.05912802,40.81230181,6.48007346
-0.006680714,-0.406659546,0.931576085,0.24935911,43.21148496,6.67314382
-0.006680714,-0.454226128,0.902985651,0.84181559,46.00368416,7.35914606
-0.009171625,-0.497308477,0.867775391,0.96388012,48.9389103,8.04611388
-0.006680714,-0.552340286,0.857580434,1.11977432,51.11009134,8.23602136
-0.006680714,-0.589458572,0.808129061,2.0724284,54.18637014,8.74920704
-0.006680714,-0.629102343,0.756693436,2.54358454,56.90545196,8.88260667
-0.004082522,-0.678655006,0.756673662,2.56912096,59.42220802,9.52669193
-0.004082522,-0.707703403,0.702591397,2.91876445,62.12554915,10.30557255
-0.000299628,-0.750703642,0.667702038,2.6541655,64.89672525,10.93719585
0.002878694,-0.801001385,0.661506023,2.5121705,67.81046265,11.39441975
0.003191216,-0.830106431,0.625775614,2.5433632,70.61213425,11.83962465
0.038932887,-0.835467059,0.560026968,2.7733951,73.59402925,12.06397675
0.060154932,-0.856544235,0.545465781,2.3593829,75.83423225,12.21710455
0.071228959,-0.870459341,0.501202669,2.4444581,77.28901817,12.67083895
0.075437945,-0.873538005,0.437947201,2.24897834,77.96611473,12.66800591
0.079044576,-0.898028403,0.390917121,1.94838672,78.54461181,12.77576517
0.089768367,-0.912429842,0.341617472,2.38191681,78.609783,12.96844521
0.10344182,-0.928293105,0.291736883,2.39327977,78.2262831,12.93435633
0.108717892,-0.943374263,0.26961653,2.35075372,77.62808333,12.78976776
0.130817935,-0.94340191,0.231358718,2.48970645,77.42674366,12.80394661
0.135402937,-0.943792517,0.212600831,2.52945623,77.1201025,12.74716121
0.140759561,-0.943792517,0.199003698,2.64587778,76.8929385,12.90901556
0.141135222,-0.943792517,0.195795915,2.59476336,76.20573352,12.99704595
0.141135222,-0.944338746,0.195795915,2.76520356,75.69157225,12.8976225
0.141135222,-0.943792517,0.195795915,2.66861602,74.47286476,12.90330412
0.141135222,-0.94340191,0.195795915,2.67145767,72.40130191,12.84078782
0.141135222,-0.942856669,0.195795915,2.77655469,70.06076287,12.9487253
0.139629933,-0.941567696,0.208245549,2.75101764,67.34248577,12.8692767
0.139258456,-0.941386161,0.220204929,2.87619192,64.28709539,12.81522417
0.13482276,-0.939142448,0.227282958,3.16841322,60.82583339,12.80387577
0.131574274,-0.933283018,0.244998575,3.42667213,57.36913721,12.71022144
0.115251764,-0.924115411,0.276026345,4.05117293,54.41127433,12.579644
0.114339858,-0.913832446,0.306355007,4.15041508,51.62965864,12.28475304
0.112231115,-0.900928268,0.346609804,4.43670059,48.73845844,12.21389029
0.108781761,-0.880985761,0.371250682,4.48487774,45.08266294,12.02118169
0.106476269,-0.863164256,0.421561609,4.27772345,41.70292651,11.65795225
0.106193114,-0.847298554,0.478978566,4.82560799,39.40919227,11.39962327
0.100697857,-0.822553532,0.505620739,4.59586526,37.06354736,11.20675283
0.099303857,-0.801948119,0.567380444,4.28389976,35.11234496,11.09331083
0.089970268,-0.779239272,0.623370666,4.52218676,32.00610371,10.93445283
0.087751761,-0.748924363,0.6514992,4.3345316,28.90695031,10.80650613
0.081381447,-0.718633018,0.70038912,4.31467827,26.40826692,10.76396328
0.077893068,-0.683378211,0.723769472,4.22671515,23.59344708,10.7384256
0.075003114,-0.648366126,0.751949683,4.0705476,21.75634881,10.52546985
0.073966241,-0.623259676,0.80467701,3.9284616,19.05103137,10.46011029
0.071219745,-0.586431006,0.824503806,3.60724441,16.4386544,10.17584729
0.069812868,-0.552329003,0.855529484,3.22691355,13.91541459,9.96013725
0.060724521,-0.513421402,0.85618649,3.002755,11.63126734,9.92608785
0.054197913,-0.475534441,0.874148694,2.38490812,8.81694646,9.42444153
0.047971409,-0.450459865,0.906886016,2.34806313,6.31148714,8.97096473
0.037984348,-0.411307919,0.90739881,2.05289553,5.10527339,8.86311503
0.033955645,-0.379715951,0.922834486,1.8458741,3.6617952,8.72415544
0.027800992,-0.343387971,0.946417215,1.76364286,1.54079632,8.53133736
0.017054987,-0.305487182,0.949468692,1.46586496,-0.59469662,8.37535846
0.007506195,-0.269765909,0.982259929,1.14527266,-1.66995752,8.37819556
0.00678191,-0.239256346,0.990296757,0.84416164,-3.77773466,8.10265057
0.006748517,-0.205139407,0.995118854,0.87823708,-5.17766732,7.93511299
-0.000506032,-0.174518844,1.006991313,1.07118368,-7.07592137,7.81877754
-0.004910054,-0.141896907,1.008856244,0.9461634,-8.57048199,7.67386767
-0.014162819,-0.117150944,1.010256146,1.01716615,-9.54463972,7.56594349
-0.016696092,-0.082295366,1.017599788,1.09386424,-10.21219717,7.56878416
-0.016696092,-0.05503802,1.019778933,1.36959256,-9.84266437,7.66258864
-0.01715714,-0.022286812,1.023115073,1.55117144,-10.21717081,7.6001709
-0.018347233,-0.000879287,1.023115073,1.43191034,-10.08655151,7.5888127
-0.019559573,0.017723628,1.019778933,1.58522714,-9.75152591,7.6200439
-0.020542284,0.033277377,1.023115073,1.59656434,-9.60414231,7.6143753
-0.020471206,0.040267226,1.023441994,1.51714318,-9.39424353,7.72499763
-0.020471206,0.040267226,1.023675324,1.53985118,-9.30057303,7.88111513
-0.020471206,0.040267226,1.023764558,1.54269136,-9.02791575,7.88395531
-0.019559573,0.040267226,1.023764558,1.46013938,-9.08769477,7.80709657
-0.019559573,0.040267226,1.023764558,1.41472674,-8.94010369,7.93765791
-0.017991104,0.035257976,1.023764558,1.56820608,-9.14758502,7.86660266
-0.017991104,0.033257186,1.023764558,1.68461041,-9.28386326,7.77291137
-0.017991104,0.027664711,1.023764558,1.62771441,-8.93395286,7.80704897
-0.017991104,0.026846827,1.023764558,1.60498793,-9.50779648,7.72750629
-0.016087398,0.022940096,1.023764558,1.56802737,-9.49073776,7.84407421
-0.016087398,0.016399258,1.023724521,1.69311233,-9.85746412,7.90093101
-0.016087398,0.012767555,1.016986129,2.07403413,-10.04508232,7.58823401
-0.017991104,0.012767555,1.012785069,1.72759195,-10.65277598,8.50261419
-0.020238397,0.012442933,1.012785069,2.4235218,-8.71269399,8.70997288
-0.020305663,0.01097936,1.012785069,1.94886104,-8.38867407,8.70428832
-0.020829438,0.009857127,1.012785069,1.44124568,-8.18732943,8.51712288
-0.035229631,0.007173216,1.012785069,1.39870598,-7.59460961,8.54831866
-0.035229631,0.006987876,1.012785069,1.4611807,-7.67128313,8.7158645
-0.035229631,0.003523129,1.015770697,1.22548482,-7.66266011,8.51178636
-0.035229631,-0.007128874,1.017216011,1.14135147,-7.14915656,8.68585536
-0.035229631,-0.017062925,1.019273607,1.03285805,-7.18056255,8.82575477
-0.033115712,-0.034052155,1.019273607,1.06346709,-7.23065007,8.88697285
-0.033115712,-0.039463293,1.019273607,0.99404109,-7.20565671,8.87864173
-0.032397867,-0.041586392,1.019273607,0.98849485,-7.47742247,8.98402029
-0.032302215,-0.044097319,1.019273607,0.98849485,-7.88840367,8.95347439
-0.030901026,-0.044540865,1.020444059,0.96069715,-8.09966619,8.91455761
-0.031246398,-0.044954776,1.020444059,0.88280283,-7.77139727,9.08703789
-0.030901026,-0.047009435,1.020538101,0.78005235,-8.10186503,9.16479501
-0.030924863,-0.049872861,1.020538101,0.64673763,-8.07131374,9.13424372
-0.030924863,-0.054120432,1.020444059,0.75219599,-8.13791902,9.19807378
-0.031246398,-0.055115459,1.020538101,0.70225085,-8.70118921,9.25356838
-0.031246398,-0.055115459,1.020538101,0.63845943,-8.98409029,9.33677458
